date,station_id,station_name,nitrogen_mg_per_L,phosphorus_mg_per_L,heavy_metals_ppb,turbidity_ntu,ph,dissolved_oxygen_mg_per_L,temperature_celsius,Water Quality
6/16/24,West,West Shore,0.84,0.022,10.5,4.3,7.41,7.4,25.4,Healthy
6/23/24,North,North Shore,0.65,0.026,9.2,7.7,7.41,7.5,26.2,Healthy
6/23/24,South,South Shore,0.77,0.036,10,7.3,7.17,8.5,24.3,Healthy
6/23/24,East,East Shore,0.7,0.056,13.7,12.3,7.39,7.5,23.9,Concern
6/23/24,West,West Shore,1.01,0.028,10.3,3.6,7.4,7.8,25.2,Healthy
6/30/24,North,North Shore,1.08,0.029,14.4,6.5,7.25,7.7,25.6,Healthy
6/30/24,South,South Shore,0.8,0.03,13.9,6.2,7.43,7.4,25.7,Healthy
6/30/24,East,East Shore,1.1,0.051,12.8,13.1,7.5,7.5,24.3,Concern
6/30/24,West,West Shore,0.92,0.022,22.7,6.8,7.31,7.3,26.8,Concern
7/7/24,North,North Shore,0.8,0.035,12.1,7.8,7.11,7.6,23.6,Healthy
7/7/24,South,South Shore,0.86,0.032,11.1,5.9,7.3,7.7,25.6,Healthy
7/7/24,East,East Shore,0.85,0.042,11.5,8.6,7.57,8.1,23.1,Healthy
7/7/24,West,West Shore,0.83,0.024,9.9,5.4,7.32,7.7,25.3,Healthy
7/14/24,North,North Shore,0.75,0.036,9.9,3.6,7.42,8.3,24.8,Healthy
7/14/24,South,South Shore,1.09,0.025,9,3.9,7.38,7.2,25.9,Healthy
7/14/24,East,East Shore,0.8,0.024,9.4,6.2,7.11,7.6,24.6,Healthy
7/14/24,West,West Shore,0.9,0.028,9.2,6.5,7.48,7.3,25.3,Healthy
7/21/24,North,North Shore,0.65,0.037,8.4,3.9,7.33,7.5,22.6,Healthy
7/21/24,South,South Shore,0.86,0.033,13.2,6,7.39,7.9,22.9,Healthy
7/21/24,East,East Shore,0.91,0.036,13.1,6.5,7.41,7.4,21.9,Healthy
7/21/24,West,West Shore,0.66,0.026,8.8,3.9,7.36,8,23.2,Healthy
7/28/24,North,North Shore,0.79,0.024,8.8,6.2,7.42,8,24.9,Healthy
7/28/24,South,South Shore,0.84,0.023,11.3,4.6,7.13,7.7,22.3,Healthy
7/28/24,East,East Shore,0.67,0.036,8.1,7.8,7.35,7.8,23.6,Healthy
7/28/24,West,West Shore,1.02,0.03,10.5,3.4,7.48,7,22,Healthy
8/4/24,North,North Shore,0.87,0.023,9.6,5.3,7.48,8.1,22.3,Healthy
8/4/24,South,South Shore,0.66,0.036,8.7,7.1,7.51,7.6,20.2,Healthy
8/4/24,East,East Shore,0.87,0.04,12.3,3.5,7.48,8.2,21.2,Healthy
8/4/24,West,West Shore,0.82,0.027,14,7.1,7.6,7.7,23.2,Healthy
8/11/24,North,North Shore,1.01,0.032,9.4,4.8,7.42,8.1,19.8,Healthy
8/11/24,South,South Shore,0.7,0.024,8.8,3.3,7.24,7.5,21.3,Healthy
8/11/24,East,East Shore,0.95,0.026,9.9,4.3,7.59,8.3,21.9,Healthy
8/11/24,West,West Shore,1.08,0.036,8.6,7.6,7.53,8.5,19.7,Healthy
8/18/24,North,North Shore,0.72,0.034,13.2,7.1,7.44,8.1,20.1,Healthy
8/18/24,South,South Shore,0.73,0.028,11.5,5.3,7.54,8,18.5,Healthy
8/18/24,East,East Shore,0.74,0.039,11.1,4.8,7.26,8.4,18.2,Healthy
8/18/24,West,West Shore,0.97,0.035,12.6,5.3,7.28,8,18.4,Healthy
8/25/24,North,North Shore,0.71,0.029,11.2,4.1,7.51,7.4,18.4,Healthy
8/25/24,South,South Shore,0.88,0.03,11.5,4.7,7.12,8,17.5,Healthy
8/25/24,East,East Shore,0.83,0.022,12.7,7.3,7.1,7.7,20.9,Healthy
8/25/24,West,West Shore,0.94,0.023,9.2,6.2,7.57,7.2,18.2,Healthy
9/1/24,North,North Shore,0.73,0.027,11.9,7.5,7.3,7.7,17.2,Healthy
9/1/24,South,South Shore,0.72,0.033,12.2,6.5,7.34,7.5,16.5,Healthy
9/1/24,East,East Shore,0.94,0.02,9.4,6.5,7.59,8.7,17.7,Healthy
9/1/24,West,West Shore,0.64,0.028,8.8,6.7,7.26,7.7,19.5,Healthy
9/8/24,North,North Shore,0.99,0.035,8.8,3.7,7.17,9,16.9,Healthy
9/8/24,South,South Shore,0.93,0.029,8.1,6.6,7.18,8.4,16.4,Healthy
9/8/24,East,East Shore,1.03,0.022,12.1,3.5,7.39,8.6,16.3,Healthy
9/8/24,West,West Shore,0.76,0.023,13.8,4.4,7.38,7.6,17.2,Healthy
9/15/24,North,North Shore,1.78,0.059,21.4,5.6,7.14,7.4,17.2,Concern
9/15/24,South,South Shore,0.66,0.03,16.1,6,7.59,8.3,17.5,Healthy
9/15/24,East,East Shore,1.03,0.031,15.1,4.8,7.48,8.5,17.4,Healthy
9/15/24,West,West Shore,0.79,0.021,41.6,3.3,7.01,7.2,15.3,Violation
9/22/24,North,North Shore,0.87,0.032,16.5,4.4,7.36,8,13.2,Healthy
9/22/24,South,South Shore,0.8,0.033,14.5,7.2,7.13,8.5,15.2,Healthy
9/22/24,East,East Shore,0.63,0.022,14.5,5.2,7.4,8.2,13.6,Healthy
9/22/24,West,West Shore,0.66,0.034,35.8,6.5,6.9,6,15.3,Violation
9/29/24,North,North Shore,0.66,0.036,9,4.3,7.49,8.8,11.3,Healthy
9/29/24,South,South Shore,0.74,0.021,12.8,6.6,7.14,8.4,13,Healthy
9/29/24,East,East Shore,0.85,0.031,10.2,4.8,7.15,7.9,13.5,Healthy
9/29/24,West,West Shore,0.71,0.03,12.3,3.2,7.22,8.8,13.1,Healthy
10/6/24,North,North Shore,0.68,0.039,10.3,7.3,7.56,8.3,13,Healthy
10/6/24,South,South Shore,0.76,0.028,10.5,6.6,7.14,7.9,11.5,Healthy
10/6/24,East,East Shore,1.05,0.024,11,7,7.58,9,10.3,Healthy
10/6/24,West,West Shore,0.74,0.037,10.8,4.6,7.1,8.3,10.8,Healthy
10/13/24,North,North Shore,0.75,0.032,11.4,5.3,7.35,8.4,12,Healthy
10/13/24,South,South Shore,1.05,0.035,9.2,4.2,7.31,7.5,9.8,Healthy
10/13/24,East,East Shore,1.02,0.038,10.1,7.8,7.43,7.5,12.3,Healthy
10/13/24,West,West Shore,0.65,0.031,12.4,4.2,7.13,8.2,12.9,Healthy
10/20/24,North,North Shore,0.65,0.038,12.3,7.5,7.45,8.3,9.3,Healthy
10/20/24,South,South Shore,0.64,0.022,13.8,3.7,7.14,8.7,10.1,Healthy
10/20/24,East,East Shore,1.08,0.025,10.6,4.3,7.5,8,10.6,Healthy
10/20/24,West,West Shore,0.76,0.025,12.4,3.4,7.49,7.8,10.2,Healthy
10/27/24,North,North Shore,0.68,0.029,8.9,5,7.58,8.3,7.7,Healthy
10/27/24,South,South Shore,0.73,0.022,9.8,3.8,7.51,8.5,9.6,Healthy
10/27/24,East,East Shore,1.02,0.027,8.2,3.5,7.28,7.9,8.9,Healthy
10/27/24,West,West Shore,0.73,0.04,12.1,3.2,7.33,8.1,9.8,Healthy
11/3/24,North,North Shore,0.83,0.036,9.5,3.7,7.52,7.5,9.9,Healthy
11/3/24,South,South Shore,1.01,0.027,8.8,6.2,7.39,8.5,7,Healthy
11/3/24,East,East Shore,0.61,0.021,12.9,7.5,7.16,8.2,9.6,Healthy
11/3/24,West,West Shore,0.77,0.021,13,5.3,7.39,7.8,9.2,Healthy
11/10/24,North,North Shore,0.61,0.034,10.4,3.9,7.19,7.8,6.3,Healthy
11/10/24,South,South Shore,0.62,0.032,13.3,4.2,7.31,7.9,7.3,Healthy
11/10/24,East,East Shore,0.74,0.023,8.4,4,7.36,8.8,7.7,Healthy
11/10/24,West,West Shore,1,0.04,12.8,6.9,7.37,8,7.1,Healthy
11/17/24,North,North Shore,0.85,0.028,13.5,3.9,7.21,8,8,Healthy
11/17/24,South,South Shore,0.63,0.04,12.7,5.6,7.6,8.7,8.4,Healthy
11/17/24,East,East Shore,0.93,0.025,8.6,7.1,7.13,8.9,8.4,Healthy
11/17/24,West,West Shore,1.02,0.036,9.3,4.8,7.52,8.8,5.2,Healthy
11/24/24,North,North Shore,1,0.034,11.6,7.6,7.45,7.5,7.7,Healthy
11/24/24,South,South Shore,0.88,0.024,11.4,7.9,7.35,8.8,5.1,Healthy
11/24/24,East,East Shore,0.65,0.025,10.9,4.1,7.1,8.3,7.6,Healthy
11/24/24,West,West Shore,0.67,0.034,9.2,7.6,7.26,8.8,4,Healthy
12/1/24,North,North Shore,1.06,0.035,11.5,7.2,7.58,8.8,5,Healthy
12/1/24,South,South Shore,0.8,0.022,13.7,4.5,7.18,7.7,7.3,Healthy
12/1/24,East,East Shore,1.08,0.033,12.8,3.9,7.45,9,7.2,Healthy
12/1/24,West,West Shore,0.71,0.032,12.7,3.9,7.44,8,4,Healthy
12/8/24,North,North Shore,1.07,0.028,17,8,7.12,8.9,5.6,Healthy
12/8/24,South,South Shore,0.71,0.031,15.3,7.7,7.47,7.7,4.1,Healthy
12/8/24,East,East Shore,1.04,0.022,14.2,6.5,7.54,8.5,5,Healthy
12/8/24,West,West Shore,0.63,0.025,22.5,3.5,7.17,6.8,6.7,Concern
12/15/24,North,North Shore,0.87,0.022,12.9,5.4,7.43,8.8,5.8,Healthy
12/15/24,South,South Shore,1.02,0.026,9.1,4.6,7.14,8.9,4,Healthy
12/15/24,East,East Shore,0.87,0.038,11.1,3.5,7.41,8.4,5,Healthy
12/15/24,West,West Shore,0.68,0.038,18.4,3.8,7.2,7.7,4,Healthy
12/22/24,North,North Shore,0.96,0.035,12.2,4.3,7.22,7.9,4,Healthy
12/22/24,South,South Shore,1.02,0.023,11.4,4.8,7.25,8.1,5.7,Healthy
12/22/24,East,East Shore,0.7,0.021,11.6,3.9,7.14,7.9,6.4,Healthy
12/22/24,West,West Shore,0.8,0.03,9.9,6.3,7.37,7.6,4,Healthy
12/29/24,North,North Shore,0.78,0.029,13.3,4.3,7.21,8.2,4.2,Healthy
12/29/24,South,South Shore,0.98,0.033,8.4,3.4,7.37,8,7,Healthy
12/29/24,East,East Shore,0.88,0.037,11.5,7.1,7.37,8.1,6.6,Healthy
12/29/24,West,West Shore,1.04,0.03,10.8,3.4,7.46,8.9,5.2,Healthy
